Customer Order,Path Size,Nodes Visited,Brute Force Score,Our Score
"['D', 'B', 'C', 'A']",58,"['D', 8, 'B', 'F', 'H', 'J', 'H', 'J', 26, 'G', 'C', 20, 'H', 'F', 'H', 'J', 'H', 20, 26, 32, 20, 'H', 'J', 33, 'H', 22, 23, 29, 23, 'K', 18, 'M', 12, 10, 'B', 'F', 'B', 'F', 16, 22, 16, 'K', 16, 22, 23, 22, 23, 'K', 18, 23, 'K', 'M', 12, 'K', 16, 10, 4, 'A']",-19,-42
"['C', 'F', 'A', 'E', 'D', 'I', 'J', 'B', 'H', 'G']",55,"['D', 'E', 'C', 'E', 'D', 'E', 'C', 'G', 'C', 20, 'C', 'G', 'C', 'G', 'I', 'C', 20, 'C', 'E', 'C', 'G', 'C', 'E', 14, 'F', 'B', 'F', 'B', 'A', 4, 'P', 4, 'A', 2, 8, 14, 'E', 'D', 'E', 14, 'F', 'B', 'F', 'B', 10, 4, 'A', 'B', 8, 14, 'F', 'H', 'F', 'H', 'J']",5,-15
"['G', 'C', 'A', 'F', 'D', 'H', 'E', 'B']",77,"['D', 'E', 'D', 'E', 'C', 'E', 14, 'E', 'C', 'E', 14, 'F', 'B', 'A', 2, 1, 'D', 1, 'D', 8, 'B', 'F', 'B', 'A', 4, 'A', 2, 1, 2, 1, 'D', 8, 'B', 'F', 'B', 8, 'B', 10, 'B', 10, 4, 'A', 2, 8, 'D', 8, 14, 8, 14, 8, 14, 'E', 'D', 'E', 'D', 'E', 14, 'E', 'C', 'E', 'C', 'E', 'D', 8, 14, 'F', 'H', 'J', 33, 'H', 22, 28, 22, 28, 'J', 26, 'G']",-3,-45
"['B', 'A']",3,"[2, 'A', 'B']",-27,5
"['E', 'A', 'C', 'F', 'G', 'D', 'H', 'B']",22,"['D', 'E', 'C', 'G', 'C', 'E', 'D', 'E', 'D', 'E', 'C', 20, 'C', 'G', 'C', 'G', 'C', 20, 'H', 'F', 'B', 'A']",-3,10
"['I', 'H', 'K', 'B', 'F', 'N', 'E', 'D', 'J', 'G', 'A', 'C', 'M']",189,"['D', 'E', 'D', 8, 'B', 'A', 'B', 'F', 'H', 'F', 'B', 'F', 14, 8, 'D', 'E', 'D', 'E', 'D', 8, 'D', 8, 2, 8, 'B', 'A', 'B', 'F', 'B', 'F', 'H', 'F', 'H', 'F', 16, 'K', 'M', 'K', 23, 'O', 'K', 18, 'M', 10, 'M', 10, 'M', 'P', 6, 6, 6, 'M', 'P', 4, 10, 'M', 10, 4, 'A', 2, 8, 'B', 8, 'B', 'F', 'B', 10, 'B', 10, 4, 'P', 'M', 'K', 23, 'K', 23, 22, 'H', 'F', 'B', 10, 'B', 'A', 4, 'A', 2, 'A', 'B', 10, 16, 'K', 18, 16, 'F', 'H', 'F', 'H', 'J', 28, 'J', 26, 'J', 'H', 'F', 'B', 'F', 'H', 20, 'H', 22, 23, 22, 'H', 'J', 'H', 22, 28, 22, 16, 'F', 'H', 22, 16, 'F', 16, 'F', 'H', 20, 'H', 'J', 26, 'G', 'C', 20, 'H', 22, 16, 22, 23, 'O', 'O', 22, 23, 29, 'N', 23, 'O', 22, 'H', 'F', 14, 'E', 'D', 1, 2, 1, 'D', 1, 2, 8, 2, 'A', 'B', 8, 'D', 1, 'D', 'E', 14, 'F', 'B', 'F', 'H', 22, 23, 'K', 16, 22, 'H', 'J', 28, 'J', 26, 32, 32, 20, 26, 'G', 'I']",17,-137
"['A', 'D', 'I', 'E', 'B', 'H', 'G', 'F', 'C']",69,"['D', 'E', 'D', 'E', 'D', 8, 'B', 'A', 2, 8, 'D', 8, 14, 'F', 'B', 'A', 2, 'A', 4, 'P', 'M', 12, 'P', 'M', 'K', 23, 29, 'N', 'Q', 23, 'K', 23, 'K', 23, 'O', 29, 28, 22, 'H', 'J', 28, 'J', 26, 'J', 'H', 'J', 33, 28, 22, 'H', 22, 28, 22, 'H', 22, 28, 34, 'J', 33, 33, 33, 33, 26, 'G', 'C', 'G', 'C', 'G', 'I']",1,-33
"['C', 'A', 'B']",41,"['D', 'E', 'D', 1, 'D', 'E', 'D', 8, 'B', 'A', 2, 'A', 4, 'P', 6, 'M', 10, 16, 'F', 16, 22, 23, 'O', 22, 16, 'K', 16, 22, 16, 22, 23, 'K', 23, 'O', 'O', 22, 16, 'F', 14, 20, 'C']",-23,-29
"['C', 'B', 'A']",161,"[2, 'A', 'B', 10, 'M', 10, 4, 'P', 'M', 10, 'M', 'K', 18, 'M', 'K', 16, 22, 'H', 'J', 'H', 'F', 16, 'F', 14, 'F', 'B', 'A', 2, 1, 'D', 1, 'D', 8, 2, 1, 2, 8, 2, 1, 2, 8, 2, 'A', 4, 10, 4, 'P', 'M', 'K', 'M', 12, 10, 'B', 'A', 2, 8, 'B', 10, 16, 10, 'B', 'F', 16, 'K', 'M', 'K', 16, 22, 23, 22, 28, 'J', 26, 32, 'J', 33, 26, 20, 'H', 'J', 28, 'J', 33, 33, 26, 'J', 33, 33, 28, 29, 'Q', 'Q', 'Q', 'Q', 'N', 'Q', 23, 'O', 29, 'Q', 23, 29, 'Q', 28, 29, 'N', 28, 'J', 28, 'J', 33, 28, 22, 23, 'K', 23, 'O', 'K', 18, 16, 'K', 23, 22, 'H', 'F', 'H', 22, 23, 22, 28, 34, 29, 23, 29, 'Q', 'N', 'N', 'N', 28, 34, 22, 16, 22, 28, 29, 'Q', 'Q', 'N', 'N', 23, 'K', 16, 22, 16, 22, 28, 'J', 26, 'G', 'I', 'C']",-23,-149
"['N', 'A', 'G', 'H', 'K', 'C', 'F', 'J', 'B', 'O', 'D', 'M', 'I', 'E']",163,"['D', 'E', 'C', 'E', 'D', 8, 'B', 'A', 'B', 'A', 'B', 'F', 'B', 'F', 'H', 'F', 'H', 'J', 'H', 'J', 'H', 20, 'H', 20, 'H', 'J', 28, 22, 28, 22, 16, 'K', 'M', 10, 'B', 8, 2, 1, 2, 8, 'D', 8, 'B', 8, 2, 8, 14, 8, 'B', 'A', 'B', 'F', 16, 'K', 23, 'K', 'M', 'P', 6, 4, 'P', 'M', 'K', 'M', 'P', 'M', 'K', 18, 23, 'O', 'K', 18, 'M', 'K', 16, 22, 16, 22, 16, 22, 'H', 22, 'H', 'J', 'H', 22, 'H', 22, 23, 29, 'Q', 'N', 'N', 'N', 28, 34, 34, 29, 'Q', 23, 'O', 'K', 18, 18, 'M', 12, 10, 16, 'F', 'B', 'F', 16, 'K', 16, 10, 16, 'F', 'H', 'F', 14, 'F', 16, 22, 28, 34, 29, 'Q', 28, 34, 29, 'N', 28, 'J', 28, 'J', 'H', 22, 28, 34, 'J', 26, 'J', 28, 22, 16, 22, 28, 'J', 'H', 22, 23, 22, 16, 'K', 23, 'K', 16, 'F', 14, 'E', 'C', 'G', 'I']",21,-107
"['C', 'A', 'B']",18,"[2, 'A', 'B', 8, 'B', 'F', 16, 22, 23, 22, 16, 22, 28, 'J', 26, 32, 20, 'C']",-23,-6
