Customer Order,Path Size,Nodes Visited,Brute Force Score,Our Score
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[7, 'A']",39,2
['A'],2,"[2, 'A']",39,2
['A'],2,"[2, 'A']",39,2
"['A', 'B']",4,"[7, 'A', 14, 'B']",43,4
"['A', 'B']",4,"[2, 'A', 14, 'B']",43,4
"['A', 'B']",4,"[2, 'A', 9, 'B']",43,4
"['A', 'B']",4,"[7, 'A', 9, 'B']",43,4
['A'],4,"[2, 'D', 9, 'A']",39,0
['A'],4,"[2, 'D', 2, 'A']",39,0
['A'],4,"[7, 'E', 14, 'A']",39,0
['A'],4,"[2, 'D', 2, 'A']",39,0
['A'],4,"[2, 'D', 2, 'A']",39,0
"['A', 'B']",4,"[2, 'A', 14, 'B']",43,4
['A'],4,"[2, 'D', 2, 'A']",39,0
"['B', 'A']",4,"[7, 'A', 9, 'B']",43,4
['A'],4,"[7, 'E', 7, 'A']",39,0
['A'],4,"[2, 'D', 2, 'A']",39,0
['A'],4,"[2, 'D', 2, 'A']",39,0
"['B', 'A']",4,"[2, 'A', 9, 'B']",43,4
['A'],4,"[7, 'E', 14, 'A']",39,0
"['B', 'A']",4,"[7, 'A', 14, 'B']",43,4
['A'],4,"[2, 'D', 2, 'A']",39,0
"['A', 'B']",4,"[2, 'A', 9, 'B']",43,4
"['A', 'B']",4,"[2, 'A', 14, 'B']",43,4
"['A', 'B']",4,"[2, 'A', 9, 'B']",43,4
"['B', 'A']",4,"[7, 'A', 9, 'B']",43,4
['A'],4,"[7, 'E', 7, 'A']",39,0
"['B', 'A']",4,"[7, 'A', 9, 'B']",43,4
['A'],4,"[2, 'D', 9, 'A']",39,0
"['A', 'B']",4,"[2, 'A', 9, 'B']",43,4
['A'],4,"[2, 'D', 2, 'A']",39,0
