List Size,Run Time,Nodes Visited,Brute Force Score,Our Score
2,Run Time: 0.0000000000,"[2, 'A']",43,-24
2,Run Time: 0.0005805492,"[2, 'A']",43,-38
2,Run Time: 0.0043766499,"[2, 'A']",43,-6
2,Run Time: 0.0000000000,"[2, 'A']",43,-86
2,Run Time: 0.0041222572,"[2, 'A']",43,-32
2,Run Time: 0.0063803196,"[2, 'A']",43,-156
2,Run Time: 0.0069255829,"[2, 'A']",43,-36
2,Run Time: 0.0000000000,"[2, 'A']",43,-40
2,Run Time: 0.0000000000,"[2, 'A']",43,-49
2,Run Time: 0.0000000000,"[2, 'A']",43,-67
2,Run Time: 0.0000000000,"[2, 'A']",43,-48
2,Run Time: 0.0000000000,"[2, 'A']",43,-56
2,Run Time: 0.0000000000,"[2, 'A']",43,-2
2,Run Time: 0.0000000000,"[2, 'A']",43,-10
2,Run Time: 0.0000000000,"[2, 'A']",43,-14
2,Run Time: 0.0043587685,"[2, 'A']",43,-4
2,Run Time: 0.0000000000,"[2, 'A']",43,-63
2,Run Time: 0.0072255135,"[2, 'A']",43,-83
2,Run Time: 0.0000000000,"[2, 'A']",43,-89
2,Run Time: 0.0057082176,"[2, 'A']",43,0
2,Run Time: 0.0000000000,"[2, 'A']",43,-103
2,Run Time: 0.0000000000,"[2, 'A']",43,-18
2,Run Time: 0.0000000000,"[2, 'A']",43,-51
2,Run Time: 0.0000000000,"[2, 'A']",43,-51
2,Run Time: 0.0009968281,"[2, 'A']",43,-24
2,Run Time: 0.0000000000,"[2, 'A']",43,-77
2,Run Time: 0.0000000000,"[2, 'A']",43,-84
2,Run Time: 0.0000000000,"[2, 'A']",43,-22
2,Run Time: 0.0000000000,"[2, 'A']",43,-81
2,Run Time: 0.0000000000,"[2, 'A']",43,-128
2,Run Time: 0.0000000000,"[2, 'A']",43,-36
2,Run Time: 0.0000000000,"[2, 'A']",43,-48
2,Run Time: 0.0000000000,"[2, 'A']",43,-80
2,Run Time: 0.0000000000,"[2, 'A']",43,-62
3,Run Time: 0.0036635399,"[2, 'A', 'B']",47,0
3,Run Time: 0.0047831535,"[2, 'A', 'B']",47,-25
3,Run Time: 0.0047121048,"[2, 'A', 'B']",47,-18
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-98
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-125
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-62
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-46
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-94
3,Run Time: 0.0012838840,"[2, 'A', 'B']",47,-85
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-36
3,Run Time: 0.0042932034,"[2, 'A', 'B']",47,6
3,Run Time: 0.0010576248,"[2, 'A', 'B']",47,-139
3,Run Time: 0.0040259361,"[2, 'A', 'B']",47,-20
3,Run Time: 0.0009281635,"[2, 'A', 'B']",47,-51
3,Run Time: 0.0014293194,"[2, 'A', 'B']",47,-80
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-32
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-149
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-63
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,6
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-240
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-65
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-60
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-101
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-79
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-34
3,Run Time: 0.0010180473,"[2, 'A', 'B']",47,-28
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-29
3,Run Time: 0.0000000000,"[2, 'A', 'B']",47,-86
4,Run Time: 0.0077302456,"['D', 1, 2, 'A']",51,-36
4,Run Time: 0.0007414818,"['D', 8, 'B', 'A']",51,-170
4,Run Time: 0.0000000000,"['D', 8, 2, 'A']",51,-90
4,Run Time: 0.0000000000,"['D', 1, 2, 'A']",51,-109
4,Run Time: 0.0009603500,"['D', 8, 'B', 'A']",51,6
4,Run Time: 0.0053567886,"['D', 1, 2, 'A']",51,-2
4,Run Time: 0.0000000000,"['D', 1, 2, 'A']",51,-235
4,Run Time: 0.0090093613,"['D', 8, 'B', 'A']",51,-92
4,Run Time: 0.0000000000,"['D', 1, 2, 'A']",51,-49
4,Run Time: 0.0000000000,"['D', 1, 2, 'A']",51,-88
4,Run Time: 0.0045065880,"['D', 8, 2, 'A']",51,-15
4,Run Time: 0.0000000000,"['D', 8, 'B', 'A']",51,-89
